;language;mgsm_basic;mgsm_cot;xcopa_cause;xcopa_effect;cot
0;afr_Latn;"Vraag:  {question} 
Gebaseer op die vraag, formuleer 'n numeriese antwoord.  Antwoord: ";"Vraag:  {question} 
Gebaseer op die vraag, formuleer 'n numeriese antwoord.  Antwoord:  Kom ons dink stap vir stap. ";"Voorbeeld:  {premise} 
Opsie A:  {choice1} 
Opsie B: {choice2} 
Watter oorsaak is na aanleiding van die uitgangspunt meer waarskynlik? 
Kies tussen opsies A en B. 
Antwoord:  {cot}";"Voorbeeld:  {premise} 
Opsie A:  {choice1} 
Opsie B: {choice2} 
Watter uitwerking is na aanleiding van die uitgangspunt waarskynliker? 
Kies tussen opsies A en B. 
Antwoord:  {cot}";Kom ons dink stap vir stap. 
1;arb_Arab;"سؤال:  {question} 
بناء على السؤال، صياغة إجابة رقمية.  الجواب: ";"سؤال:  {question} 
بناء على السؤال، صياغة إجابة رقمية.  الجواب:  دعونا نفكر خطوة بخطوة ";"فرضية:  {premise} 
الخيار أ:  {choice1} 
الخيار (ب): {choice2} 
بناء على الفرضية، أي سبب هو الأكثر احتمالا؟ 
اختر بين الخيارين أ و ب 
الجواب:  {cot}";"فرضية:  {premise} 
الخيار أ:  {choice1} 
الخيار (ب): {choice2} 
بناء على الفرضية، أي تأثير هو الأكثر احتمالا؟ 
اختر بين الخيارين أ و ب 
الجواب:  {cot}";دعونا نفكر خطوة بخطوة 
2;ban_Latn;"Pitakén:  {question} 
Manut pitakén, ngarumusang jawaban numerik.  Bali: Pasaur danene sapuniki: ";"Pitakén:  {question} 
Manut pitakén, ngarumusang jawaban numerik.  Bali: Pasaur danene sapuniki:  Ngiring iraga mapineh ring pahan-pahan. ";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Manut kawéntenan punika, napi sané ngawinang? 
Pilih antara pilihan A miwah B. 
Bali: Pasaur danene sapuniki:  {cot}";"Premis:  {premise} 
Pilihan A:  {choice1} 
Pilihan B: {choice2} 
Manut kawéntenannyané, napi sané pinih dangan kapanggihin? 
Pilih antara pilihan A miwah B. 
Bali: Pasaur danene sapuniki:  {cot}";Ngiring iraga mapineh ring pahan-pahan. 
3;bel_Cyrl;"Пытанне:  {question} 
Зыходзячы з запыта, сфармулюйце лічбавы адказ.  Адказ: ";"Пытанне:  {question} 
Зыходзячы з запыта, сфармулюйце лічбавы адказ.  Адказ:  Давайце падумаем крок за крокам. ";"Перадумовы:  {premise} 
Варыянт А:  {choice1} 
Варыянт Б: {choice2} 
Зыходзячы з папярэдняй высновы, якая прычына больш верагодная? 
Выберыце паміж варыянтамі А і В. 
Адказ:  {cot}";"Перадумовы:  {premise} 
Варыянт А:  {choice1} 
Варыянт Б: {choice2} 
Зыходзячы з гэтага, які эфект больш верагодны? 
Выберыце паміж варыянтамі А і В. 
Адказ:  {cot}";Давайце падумаем крок за крокам. 
4;ben_Beng;"প্রশ্ন:  {question} 
প্রশ্নের ভিত্তিতে, একটি সংখ্যাসূচক উত্তর তৈরি করুন।  উত্তর: ";"প্রশ্ন:  {question} 
প্রশ্নের ভিত্তিতে, একটি সংখ্যাসূচক উত্তর তৈরি করুন।  উত্তর:  ধাপে ধাপে চিন্তা করা যাক। ";"মূলধন:  {premise} 
বিকল্প A:  {choice1} 
বিকল্প বিঃ {choice2} 
এই প্রমিশনের উপর ভিত্তি করে, কোন কারণটি বেশি সম্ভাব্য? 
বিকল্প A এবং B এর মধ্যে বেছে নিন। 
উত্তর:  {cot}";"মূলধন:  {premise} 
বিকল্প A:  {choice1} 
বিকল্প বিঃ {choice2} 
এই প্রবন্ধের ভিত্তিতে, কোন প্রভাব বেশি প্রাসঙ্গিক? 
বিকল্প A এবং B এর মধ্যে বেছে নিন। 
উত্তর:  {cot}";ধাপে ধাপে চিন্তা করা যাক। 
5;bod_Tibt;"དྲི་བ།  {question} 
དྲི་བའི་གཞི་ནས་གྲངས་ཀྱི་ལན་འདེབས་ཤིག་བཀོད་རོགས།  ལན་སློག ";"དྲི་བ།  {question} 
དྲི་བའི་གཞི་ནས་གྲངས་ཀྱི་ལན་འདེབས་ཤིག་བཀོད་རོགས།  ལན་སློག  རིམ་བཞིན་བསམ་བློ་གཏོང་དགོས། ";"ཕྱོགས་སྟོན་:  {premise} 
གདམ་ཁ་དང་པོ།  {choice1} 
གདམ་ཁ་ B: {choice2} 
ཇི་ལྟར་ཡིན་ན་དེ་འདྲ་ཡིན་སྲིད་ཀྱི་རེད་དམ། 
A དང་ B གཉིས་ནས་གཅིག་འདེམས་དགོས། 
ལན་སློག  {cot}";"ཕྱོགས་སྟོན་:  {premise} 
གདམ་ཁ་དང་པོ།  {choice1} 
གདམ་ཁ་ B: {choice2} 
ཇི་ལྟར་ཡིན་ན་གང་ཞིག་འབྱུང་སྲིད་དམ། 
A དང་ B གཉིས་ནས་གཅིག་འདེམས་དགོས། 
ལན་སློག  {cot}";རིམ་བཞིན་བསམ་བློ་གཏོང་དགོས། 
6;bos_Latn;"Pitanje:  {question} 
Na osnovu pitanja, formuliraj numerički odgovor.  Odgovor: ";"Pitanje:  {question} 
Na osnovu pitanja, formuliraj numerički odgovor.  Odgovor:  Hajde da razmislimo korak po korak. ";"Predpostavka:  {premise} 
Opcija A:  {choice1} 
Opcija B: {choice2} 
Na osnovu pretpostavke, koji je uzrok verovatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}";"Predpostavka:  {premise} 
Opcija A:  {choice1} 
Opcija B: {choice2} 
Na osnovu pretpostavke, koji je efekat verovatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}";Hajde da razmislimo korak po korak. 
7;bul_Cyrl;"Въпрос:  {question} 
Въз основа на въпроса формулирайте числов отговор.  Отговор: ";"Въпрос:  {question} 
Въз основа на въпроса формулирайте числов отговор.  Отговор:  Нека да мислим стъпка по стъпка. ";"Предположението:  {premise} 
Опция А:  {choice1} 
Опция Б: {choice2} 
Въз основа на предположението, коя причина е по-вероятна? 
Избирай между варианти А и Б. 
Отговор:  {cot}";"Предположението:  {premise} 
Опция А:  {choice1} 
Опция Б: {choice2} 
Въз основа на предпоставката, кой ефект е по-вероятен? 
Избирай между варианти А и Б. 
Отговор:  {cot}";Нека да мислим стъпка по стъпка. 
8;ces_Latn;"Otázka:  {question} 
Na základě otázky formulujte číselnou odpověď.  Odpověď: ";"Otázka:  {question} 
Na základě otázky formulujte číselnou odpověď.  Odpověď:  Pojďme to udělat krok za krokem. ";"Předpoklad:  {premise} 
Možnost A:  {choice1} 
Možnost B: {choice2} 
Na základě předpokladu, která příčina je pravděpodobnější? 
Vyber si mezi možnostmi A a B. 
Odpověď:  {cot}";"Předpoklad:  {premise} 
Možnost A:  {choice1} 
Možnost B: {choice2} 
Na základě předpokladu, který efekt je pravděpodobnější? 
Vyber si mezi možnostmi A a B. 
Odpověď:  {cot}";Pojďme to udělat krok za krokem. 
9;cat_Latn;"Pregunta:  {question} 
Basant-te en la pregunta, formula una resposta numèrica.  Resposta: ";"Pregunta:  {question} 
Basant-te en la pregunta, formula una resposta numèrica.  Resposta:  Pensem pas a pas. ";"Premissa:  {premise} 
Opció A:  {choice1} 
Opció B: {choice2} 
Basant-nos en la premissa, quina causa és més probable? 
Escollir entre les opcions A i B. 
Resposta:  {cot}";"Premissa:  {premise} 
Opció A:  {choice1} 
Opció B: {choice2} 
Basant-se en la premissa, quin efecte és més probable? 
Escollir entre les opcions A i B. 
Resposta:  {cot}";Pensem pas a pas. 
